,State,719,724
0,Washington,NaN,103007
1,Illinois,NaN,241466
2,California,NaN,612784
3,Arizona,NaN,80289
4,Massachusetts,NaN,159060
5,Wisconsin,NaN,72703
6,Texas,NaN,463215
7,Nebraska,NaN,22114
8,Utah,NaN,54219
9,Oregon,NaN,55907
10,Florida,NaN,455142
11,New York,NaN,539437
12,Rhode Island,NaN,38435
13,Georgia,NaN,107760
14,New Hampshire,NaN,14948
15,North Carolina,NaN,158742
16,New Jersey,NaN,232437
17,Colorado,NaN,65078
18,Maryland,NaN,124080
19,Nevada,NaN,27776
20,Tennessee,NaN,53442
21,Hawaii,NaN,28708
22,Indiana,NaN,81296
23,Kentucky,NaN,64805
24,Minnesota,NaN,43338
25,Oklahoma,NaN,34579
26,Pennsylvania,NaN,215220
27,South Carolina,NaN,94957
28,District of Columbia,NaN,11677
29,Kansas,NaN,45472
30,Missouri,NaN,89266
31,Vermont,NaN,12074
32,Virginia,NaN,112380
33,Connecticut,NaN,64890
34,Iowa,NaN,32165
35,Louisiana,NaN,94730
36,Ohio,NaN,151984
37,Michigan,NaN,150648
38,South Dakota,NaN,14090
39,Arkansas,NaN,49748
40,Delaware,NaN,21302
41,Mississippi,NaN,48511
42,New Mexico,NaN,19497
43,North Dakota,NaN,7981
44,Wyoming,NaN,5581
45,Alaska,NaN,11801
46,Maine,NaN,6278
47,Alabama,NaN,82237
48,Idaho,NaN,8456
49,Montana,NaN,6670
50,Puerto Rico,NaN,92487
51,Virgin Islands,NaN,3448
52,Guam,NaN,1604
53,West Virginia,NaN,27902
54,Northern Mariana Islands,NaN,250
55,American Samoa,NaN,0
