,State,761,766
0,Washington,NaN,11262
1,Illinois,NaN,16137
2,California,NaN,62664
3,Arizona,NaN,10884
4,Massachusetts,NaN,8637
5,Wisconsin,NaN,8418
6,Texas,NaN,43805
7,Nebraska,NaN,1277
8,Utah,NaN,4337
9,Oregon,NaN,7488
10,Florida,NaN,28519
11,New York,NaN,18552
12,Rhode Island,NaN,1582
13,Georgia,NaN,13849
14,New Hampshire,NaN,4401
15,North Carolina,NaN,21983
16,New Jersey,NaN,8963
17,Colorado,NaN,9965
18,Maryland,NaN,10094
19,Nevada,NaN,2525
20,Tennessee,NaN,19334
21,Hawaii,NaN,1537
22,Indiana,NaN,7253
23,Kentucky,NaN,17597
24,Minnesota,NaN,12185
25,Oklahoma,NaN,4423
26,Pennsylvania,NaN,15599
27,South Carolina,NaN,9692
28,District of Columbia,NaN,815
29,Kansas,NaN,9467
30,Missouri,NaN,10470
31,Vermont,NaN,1182
32,Virginia,NaN,15320
33,Connecticut,NaN,5024
34,Iowa,NaN,4735
35,Louisiana,NaN,5404
36,Ohio,NaN,10296
37,Michigan,NaN,13406
38,South Dakota,NaN,1741
39,Arkansas,NaN,5555
40,Delaware,NaN,1130
41,Mississippi,NaN,5967
42,New Mexico,NaN,4092
43,North Dakota,NaN,1547
44,Wyoming,NaN,1071
45,Alaska,NaN,2200
46,Maine,NaN,25249
47,Alabama,NaN,7656
48,Idaho,NaN,9146
49,Montana,NaN,3629
50,Puerto Rico,NaN,2862
51,Virgin Islands,NaN,66
52,Guam,NaN,2394
53,West Virginia,NaN,5156
54,Northern Mariana Islands,NaN,925
55,American Samoa,NaN,0
