,State,607,612,619
0,Washington,NaN,22253,21320
1,Illinois,NaN,25417,23010
2,California,NaN,55393,50447
3,Arizona,NaN,17189,16121
4,Massachusetts,NaN,13785,13654
5,Wisconsin,NaN,17540,17215
6,Texas,NaN,100212,88462
7,Nebraska,NaN,4684,4322
8,Utah,NaN,10854,10162
9,Oregon,NaN,12197,11253
10,Florida,NaN,66800,54063
11,New York,NaN,35115,34826
12,Rhode Island,NaN,2520,2302
13,Georgia,NaN,34920,29065
14,New Hampshire,NaN,3194,3211
15,North Carolina,NaN,49760,44084
16,New Jersey,NaN,15850,15713
17,Colorado,NaN,13809,13754
18,Maryland,NaN,8393,8319
19,Nevada,NaN,7773,7207
20,Tennessee,NaN,49459,45480
21,Hawaii,NaN,3179,2623
22,Indiana,NaN,26356,24862
23,Kentucky,NaN,27144,24308
24,Minnesota,NaN,15169,15524
25,Oklahoma,NaN,14208,13158
26,Pennsylvania,NaN,33986,34774
27,South Carolina,NaN,31202,24905
28,District of Columbia,NaN,1618,1326
29,Kansas,NaN,9749,8903
30,Missouri,NaN,14245,13845
31,Vermont,NaN,1410,1428
32,Virginia,NaN,25131,24516
33,Connecticut,NaN,5273,5329
34,Iowa,NaN,12598,13052
35,Louisiana,NaN,11969,8229
36,Ohio,NaN,48900,48609
37,Michigan,NaN,22514,23746
38,South Dakota,NaN,3184,3067
39,Arkansas,NaN,8733,7374
40,Delaware,NaN,3216,3136
41,Mississippi,NaN,10156,7662
42,New Mexico,NaN,4313,3892
43,North Dakota,NaN,3268,3282
44,Wyoming,NaN,3256,2949
45,Alaska,NaN,5115,5197
46,Maine,NaN,3492,3942
47,Alabama,NaN,20281,16592
48,Idaho,NaN,8659,8771
49,Montana,NaN,6260,6553
50,Puerto Rico,NaN,1706,1198
51,Virgin Islands,NaN,196,176
52,Guam,NaN,1116,1119
53,West Virginia,NaN,13499,13468
54,Northern Mariana Islands,NaN,8,8
55,American Samoa,NaN,0,0
