,State,649,654
0,Washington,NaN,14596
1,Illinois,NaN,14264
2,California,NaN,43734
3,Arizona,NaN,17283
4,Massachusetts,NaN,8536
5,Wisconsin,NaN,14216
6,Texas,NaN,24267
7,Nebraska,NaN,4253
8,Utah,NaN,10987
9,Oregon,NaN,7292
10,Florida,NaN,11143
11,New York,NaN,24121
12,Rhode Island,NaN,1385
13,Georgia,NaN,8243
14,New Hampshire,NaN,1102
15,North Carolina,NaN,12508
16,New Jersey,NaN,8411
17,Colorado,NaN,19893
18,Maryland,NaN,4665
19,Nevada,NaN,3281
20,Tennessee,NaN,6889
21,Hawaii,NaN,863
22,Indiana,NaN,10190
23,Kentucky,NaN,8143
24,Minnesota,NaN,16598
25,Oklahoma,NaN,5021
26,Pennsylvania,NaN,25257
27,South Carolina,NaN,4965
28,District of Columbia,NaN,538
29,Kansas,NaN,5695
30,Missouri,NaN,5950
31,Vermont,NaN,1340
32,Virginia,NaN,8748
33,Connecticut,NaN,2191
34,Iowa,NaN,7508
35,Louisiana,NaN,2654
36,Ohio,NaN,20593
37,Michigan,NaN,27325
38,South Dakota,NaN,2174
39,Arkansas,NaN,2833
40,Delaware,NaN,1719
41,Mississippi,NaN,3016
42,New Mexico,NaN,6318
43,North Dakota,NaN,3252
44,Wyoming,NaN,2676
45,Alaska,NaN,4216
46,Maine,NaN,3287
47,Alabama,NaN,10057
48,Idaho,NaN,6116
49,Montana,NaN,5137
50,Puerto Rico,NaN,599
51,Virgin Islands,NaN,63
52,Guam,NaN,647
53,West Virginia,NaN,5400
54,Northern Mariana Islands,NaN,9
55,American Samoa,NaN,1
