,State,809,815
0,Washington,NaN,15232
1,Illinois,NaN,14115
2,California,NaN,28884
3,Arizona,NaN,10795
4,Massachusetts,NaN,12287
5,Wisconsin,NaN,5661
6,Texas,NaN,43710
7,Nebraska,NaN,461
8,Utah,NaN,915
9,Oregon,NaN,3395
10,Florida,NaN,22958
11,New York,NaN,32011
12,Rhode Island,NaN,2491
13,Georgia,NaN,3654
14,New Hampshire,NaN,1306
15,North Carolina,NaN,4273
16,New Jersey,NaN,13207
17,Colorado,NaN,10274
18,Maryland,NaN,3792
19,Nevada,NaN,2075
20,Tennessee,NaN,1894
21,Hawaii,NaN,1963
22,Indiana,NaN,1501
23,Kentucky,NaN,3897
24,Minnesota,NaN,4308
25,Oklahoma,NaN,3253
26,Pennsylvania,NaN,6802
27,South Carolina,NaN,2352
28,District of Columbia,NaN,1237
29,Kansas,NaN,751
30,Missouri,NaN,1675
31,Vermont,NaN,1554
32,Virginia,NaN,7967
33,Connecticut,NaN,4586
34,Iowa,NaN,746
35,Louisiana,NaN,1090
36,Ohio,NaN,6026
37,Michigan,NaN,6378
38,South Dakota,NaN,235
39,Arkansas,NaN,678
40,Delaware,NaN,0
41,Mississippi,NaN,1351
42,New Mexico,NaN,1178
43,North Dakota,NaN,348
44,Wyoming,NaN,163
45,Alaska,NaN,1612
46,Maine,NaN,1862
47,Alabama,NaN,1640
48,Idaho,NaN,506
49,Montana,NaN,316
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,NaN
53,West Virginia,NaN,723
54,Northern Mariana Islands,NaN,NaN
55,American Samoa,NaN,NaN
