,State,676,682
0,Washington,NaN,7120
1,Illinois,NaN,26454
2,California,NaN,26651
3,Arizona,NaN,24638
4,Massachusetts,NaN,23336
5,Wisconsin,NaN,31276
6,Texas,NaN,19753
7,Nebraska,NaN,4054
8,Utah,NaN,8555
9,Oregon,NaN,4370
10,Florida,NaN,0
11,New York,NaN,46382
12,Rhode Island,NaN,2731
13,Georgia,NaN,6025
14,New Hampshire,NaN,5998
15,North Carolina,NaN,11169
16,New Jersey,NaN,16590
17,Colorado,NaN,22379
18,Maryland,NaN,4073
19,Nevada,NaN,3454
20,Tennessee,NaN,7738
21,Hawaii,NaN,511
22,Indiana,NaN,19163
23,Kentucky,NaN,10551
24,Minnesota,NaN,33410
25,Oklahoma,NaN,4032
26,Pennsylvania,NaN,44020
27,South Carolina,NaN,4588
28,District of Columbia,NaN,561
29,Kansas,NaN,7067
30,Missouri,NaN,7522
31,Vermont,NaN,1069
32,Virginia,NaN,13135
33,Connecticut,NaN,6615
34,Iowa,NaN,8358
35,Louisiana,NaN,2252
36,Ohio,NaN,36303
37,Michigan,NaN,53169
38,South Dakota,NaN,2798
39,Arkansas,NaN,3844
40,Delaware,NaN,2501
41,Mississippi,NaN,2248
42,New Mexico,NaN,7595
43,North Dakota,NaN,3453
44,Wyoming,NaN,1198
45,Alaska,NaN,2453
46,Maine,NaN,4312
47,Alabama,NaN,2585
48,Idaho,NaN,3013
49,Montana,NaN,2777
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,NaN
53,West Virginia,NaN,2805
54,Northern Mariana Islands,NaN,NaN
55,American Samoa,NaN,NaN
