,State,781,787
0,Washington,NaN,9569
1,Illinois,NaN,10994
2,California,NaN,35207
3,Arizona,NaN,10335
4,Massachusetts,NaN,6214
5,Wisconsin,NaN,3925
6,Texas,NaN,39071
7,Nebraska,NaN,830
8,Utah,NaN,1158
9,Oregon,NaN,3337
10,Florida,NaN,11017
11,New York,NaN,10851
12,Rhode Island,NaN,1316
13,Georgia,NaN,8136
14,New Hampshire,NaN,966
15,North Carolina,NaN,13252
16,New Jersey,NaN,8016
17,Colorado,NaN,9477
18,Maryland,NaN,2179
19,Nevada,NaN,3719
20,Tennessee,NaN,4842
21,Hawaii,NaN,384
22,Indiana,NaN,3585
23,Kentucky,NaN,3163
24,Minnesota,NaN,5526
25,Oklahoma,NaN,3433
26,Pennsylvania,NaN,7016
27,South Carolina,NaN,2718
28,District of Columbia,NaN,0
29,Kansas,NaN,1575
30,Missouri,NaN,3649
31,Vermont,NaN,1069
32,Virginia,NaN,9459
33,Connecticut,NaN,5731
34,Iowa,NaN,1379
35,Louisiana,NaN,1842
36,Ohio,NaN,5136
37,Michigan,NaN,7296
38,South Dakota,NaN,444
39,Arkansas,NaN,3480
40,Delaware,NaN,1072
41,Mississippi,NaN,1613
42,New Mexico,NaN,2386
43,North Dakota,NaN,546
44,Wyoming,NaN,434
45,Alaska,NaN,3731
46,Maine,NaN,1964
47,Alabama,NaN,6920
48,Idaho,NaN,7242
49,Montana,NaN,841
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,NaN
53,West Virginia,NaN,3203
54,Northern Mariana Islands,NaN,NaN
55,American Samoa,NaN,NaN
