,State,739,745
0,Washington,1294497,205575
1,Illinois,2897174,153457
2,California,8384039,523791
3,Arizona,1858385,115006
4,Massachusetts,1598451,80413
5,Wisconsin,1503420,73885
6,Texas,6224480,289165
7,Nebraska,435358,30137
8,Utah,875251,46100
9,Oregon,620652,68684
10,Florida,5522206,273158
11,New York,4797903,112813
12,Rhode Island,341407,18977
13,Georgia,2346518,147740
14,New Hampshire,272492,18394
15,North Carolina,2374866,210838
16,New Jersey,2109783,48934
17,Colorado,1240361,71657
18,Maryland,954212,20331
19,Nevada,648088,43223
20,Tennessee,1771783,216552
21,Hawaii,217775,15762
22,Indiana,1604072,98760
23,Kentucky,1140887,116852
24,Minnesota,1309665,142243
25,Oklahoma,963655,85293
26,Pennsylvania,2656587,94707
27,South Carolina,1355116,154480
28,District of Columbia,129817,3182
29,Kansas,723110,56563
30,Missouri,1330584,64054
31,Vermont,104160,5855
32,Virginia,1525603,97680
33,Connecticut,696070,30493
34,Iowa,712288,36789
35,Louisiana,1105273,60602
36,Ohio,2576245,84390
37,Michigan,2235180,139903
38,South Dakota,225383,12501
39,Arkansas,768061,43711
40,Delaware,247638,8302
41,Mississippi,717666,49435
42,New Mexico,470513,42608
43,North Dakota,223362,16127
44,Wyoming,144526,13146
45,Alaska,212396,23017
46,Maine,174225,9671
47,Alabama,1212798,36789
48,Idaho,377721,26906
49,Montana,238801,23721
50,Puerto Rico,457057,NaN
51,Virgin Islands,14846,NaN
52,Guam,31804,NaN
53,West Virginia,445061,29829
54,Northern Mariana Islands,4864,NaN
55,American Samoa,18,NaN
