,State,718,724
0,Washington,NaN,110606
1,Illinois,NaN,324411
2,California,NaN,620449
3,Arizona,NaN,77710
4,Massachusetts,NaN,211884
5,Wisconsin,NaN,94863
6,Texas,NaN,493800
7,Nebraska,NaN,25209
8,Utah,NaN,51352
9,Oregon,NaN,54695
10,Florida,NaN,627228
11,New York,NaN,651874
12,Rhode Island,NaN,61719
13,Georgia,NaN,139694
14,New Hampshire,NaN,22670
15,North Carolina,NaN,176106
16,New Jersey,NaN,259216
17,Colorado,NaN,79116
18,Maryland,NaN,98426
19,Nevada,NaN,30409
20,Tennessee,NaN,51310
21,Hawaii,NaN,25536
22,Indiana,NaN,110934
23,Kentucky,NaN,80265
24,Minnesota,NaN,59678
25,Oklahoma,NaN,38680
26,Pennsylvania,NaN,200904
27,South Carolina,NaN,116642
28,District of Columbia,NaN,18237
29,Kansas,NaN,62315
30,Missouri,NaN,94241
31,Vermont,NaN,15108
32,Virginia,NaN,138930
33,Connecticut,NaN,91289
34,Iowa,NaN,37344
35,Louisiana,NaN,109028
36,Ohio,NaN,146484
37,Michigan,NaN,180380
38,South Dakota,NaN,15703
39,Arkansas,NaN,51313
40,Delaware,NaN,17384
41,Mississippi,NaN,57767
42,New Mexico,NaN,24679
43,North Dakota,NaN,9036
44,Wyoming,NaN,5887
45,Alaska,NaN,9892
46,Maine,NaN,8677
47,Alabama,NaN,74845
48,Idaho,NaN,10974
49,Montana,NaN,7302
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,NaN
53,West Virginia,NaN,32909
54,Northern Mariana Islands,NaN,NaN
55,American Samoa,NaN,NaN
