,State,816,822
0,Washington,NaN,11114
1,Illinois,NaN,18250
2,California,NaN,35967
3,Arizona,NaN,4769
4,Massachusetts,NaN,18958
5,Wisconsin,NaN,6199
6,Texas,NaN,0
7,Nebraska,NaN,575
8,Utah,NaN,959
9,Oregon,NaN,3854
10,Florida,NaN,0
11,New York,NaN,41887
12,Rhode Island,NaN,3296
13,Georgia,NaN,4390
14,New Hampshire,NaN,2108
15,North Carolina,NaN,8996
16,New Jersey,NaN,15308
17,Colorado,NaN,12133
18,Maryland,NaN,5110
19,Nevada,NaN,1958
20,Tennessee,NaN,2243
21,Hawaii,NaN,2245
22,Indiana,NaN,1186
23,Kentucky,NaN,3749
24,Minnesota,NaN,6090
25,Oklahoma,NaN,808
26,Pennsylvania,NaN,9171
27,South Carolina,NaN,1337
28,District of Columbia,NaN,3097
29,Kansas,NaN,0
30,Missouri,NaN,1012
31,Vermont,NaN,2136
32,Virginia,NaN,9505
33,Connecticut,NaN,5793
34,Iowa,NaN,1135
35,Louisiana,NaN,1520
36,Ohio,NaN,7572
37,Michigan,NaN,13212
38,South Dakota,NaN,212
39,Arkansas,NaN,642
40,Delaware,NaN,1070
41,Mississippi,NaN,783
42,New Mexico,NaN,1139
43,North Dakota,NaN,399
44,Wyoming,NaN,0
45,Alaska,NaN,2249
46,Maine,NaN,2959
47,Alabama,NaN,1456
48,Idaho,NaN,538
49,Montana,NaN,345
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,NaN
53,West Virginia,NaN,606
54,Northern Mariana Islands,NaN,NaN
55,American Samoa,NaN,NaN
