,State,795,801
0,Washington,NaN,7479
1,Illinois,NaN,10489
2,California,NaN,29509
3,Arizona,NaN,7196
4,Massachusetts,NaN,8176
5,Wisconsin,NaN,3226
6,Texas,NaN,46563
7,Nebraska,NaN,0
8,Utah,NaN,678
9,Oregon,NaN,2033
10,Florida,NaN,17989
11,New York,NaN,18663
12,Rhode Island,NaN,1427
13,Georgia,NaN,4265
14,New Hampshire,NaN,1030
15,North Carolina,NaN,9669
16,New Jersey,NaN,7611
17,Colorado,NaN,13480
18,Maryland,NaN,1934
19,Nevada,NaN,1972
20,Tennessee,NaN,2298
21,Hawaii,NaN,1246
22,Indiana,NaN,1836
23,Kentucky,NaN,8073
24,Minnesota,NaN,3637
25,Oklahoma,NaN,2857
26,Pennsylvania,NaN,4575
27,South Carolina,NaN,2066
28,District of Columbia,NaN,0
29,Kansas,NaN,633
30,Missouri,NaN,4952
31,Vermont,NaN,1257
32,Virginia,NaN,7047
33,Connecticut,NaN,3090
34,Iowa,NaN,863
35,Louisiana,NaN,982
36,Ohio,NaN,5774
37,Michigan,NaN,7184
38,South Dakota,NaN,188
39,Arkansas,NaN,2704
40,Delaware,NaN,701
41,Mississippi,NaN,892
42,New Mexico,NaN,1361
43,North Dakota,NaN,323
44,Wyoming,NaN,194
45,Alaska,NaN,1339
46,Maine,NaN,1438
47,Alabama,NaN,1768
48,Idaho,NaN,2080
49,Montana,NaN,390
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,NaN
53,West Virginia,NaN,1028
54,Northern Mariana Islands,NaN,NaN
55,American Samoa,NaN,NaN
