,State,690,696
0,Washington,NaN,12365
1,Illinois,NaN,64294
2,California,NaN,41141
3,Arizona,NaN,24556
4,Massachusetts,NaN,44817
5,Wisconsin,NaN,41553
6,Texas,NaN,43488
7,Nebraska,NaN,9661
8,Utah,NaN,8529
9,Oregon,NaN,7343
10,Florida,NaN,13961
11,New York,NaN,72995
12,Rhode Island,NaN,8523
13,Georgia,NaN,13339
14,New Hampshire,NaN,12741
15,North Carolina,NaN,27564
16,New Jersey,NaN,32444
17,Colorado,NaN,20350
18,Maryland,NaN,0
19,Nevada,NaN,5794
20,Tennessee,NaN,15478
21,Hawaii,NaN,710
22,Indiana,NaN,42339
23,Kentucky,NaN,21487
24,Minnesota,NaN,41763
25,Oklahoma,NaN,11767
26,Pennsylvania,NaN,58049
27,South Carolina,NaN,8908
28,District of Columbia,NaN,1551
29,Kansas,NaN,15231
30,Missouri,NaN,21155
31,Vermont,NaN,3136
32,Virginia,NaN,22560
33,Connecticut,NaN,17655
34,Iowa,NaN,16455
35,Louisiana,NaN,4209
36,Ohio,NaN,55954
37,Michigan,NaN,65396
38,South Dakota,NaN,4241
39,Arkansas,NaN,5990
40,Delaware,NaN,4540
41,Mississippi,NaN,4925
42,New Mexico,NaN,11886
43,North Dakota,NaN,2888
44,Wyoming,NaN,1363
45,Alaska,NaN,1765
46,Maine,NaN,9048
47,Alabama,NaN,4052
48,Idaho,NaN,3816
49,Montana,NaN,2041
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,NaN
53,West Virginia,NaN,6996
54,Northern Mariana Islands,NaN,NaN
55,American Samoa,NaN,NaN
