,State,830,836
0,Washington,NaN,21156
1,Illinois,NaN,31086
2,California,NaN,58285
3,Arizona,NaN,4034
4,Massachusetts,NaN,24678
5,Wisconsin,NaN,11886
6,Texas,NaN,20208
7,Nebraska,NaN,1063
8,Utah,NaN,2216
9,Oregon,NaN,9069
10,Florida,NaN,0
11,New York,NaN,53223
12,Rhode Island,NaN,4413
13,Georgia,NaN,9680
14,New Hampshire,NaN,3140
15,North Carolina,NaN,20012
16,New Jersey,NaN,19902
17,Colorado,NaN,9542
18,Maryland,NaN,9073
19,Nevada,NaN,3332
20,Tennessee,NaN,916
21,Hawaii,NaN,5571
22,Indiana,NaN,6604
23,Kentucky,NaN,3118
24,Minnesota,NaN,12019
25,Oklahoma,NaN,1658
26,Pennsylvania,NaN,14061
27,South Carolina,NaN,3433
28,District of Columbia,NaN,1013
29,Kansas,NaN,2726
30,Missouri,NaN,2088
31,Vermont,NaN,3082
32,Virginia,NaN,13192
33,Connecticut,NaN,8492
34,Iowa,NaN,1979
35,Louisiana,NaN,2127
36,Ohio,NaN,13777
37,Michigan,NaN,24938
38,South Dakota,NaN,475
39,Arkansas,NaN,1105
40,Delaware,NaN,1403
41,Mississippi,NaN,1064
42,New Mexico,NaN,1704
43,North Dakota,NaN,578
44,Wyoming,NaN,237
45,Alaska,NaN,2585
46,Maine,NaN,3253
47,Alabama,NaN,1973
48,Idaho,NaN,610
49,Montana,NaN,693
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,NaN
53,West Virginia,NaN,1845
54,Northern Mariana Islands,NaN,NaN
55,American Samoa,NaN,NaN
