,Region,417,423,430,437,444,451
0,Belgium,,187,187,178,173,165
1,Bulgaria,,629,824,960,1065,1176
2,Czechia,,1743,1841,1808,1541,1278
3,Denmark,,13,14,15,16,16
4,Germany,,1443,1471,1509,1525,1548
5,Estonia,,102,109,98,96,90
6,Ireland,,103,90,86,80,73
7,Greece,,345,449,512,536,554
8,Spain,,1020,761,655,588,532
9,France,,1891,1827,1710,1615,1517
10,Croatia,,84,104,125,147,173
11,Italy,,2621,3271,3580,3424,3223
12,Cyprus,,3,5,5,5,7
13,Latvia,,60,54,48,44,37
14,Lithuania,,75,69,66,63,60
15,Luxembourg,,15,15,13,12,12
16,Hungary,,1374,1932,2284,2575,2862
17,Malta,,24,30,33,33,34
18,Netherlands,,293,305,323,340,356
19,Austria,,168,194,218,235,253
20,Poland,,2245,2935,3389,3732,4074
21,Portugal,,99,73,63,55,48
22,Romania,,655,782,889,998,1119
23,Slovenia,,40,39,39,35,31
24,Slovakia,,719,744,746,714,677
25,Finland,,13,13,14,15,15
26,Sweden,,125,149,163,151,139
27,United Kingdom,,953,728,660,608,557
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,1,2,1,2,2
31,Switzerland,,64,69,67,60,54
