,Region,711,717,724,731,738,745
0,Belgium,,150,124,152,191,230
1,Bulgaria,,477,600,740,929,1183
2,Czechia,,364,301,238,179,160
3,Denmark,,97,124,153,163,149
4,Germany,,1605,1186,1010,924,1078
5,Estonia,,38,48,61,75,93
6,Ireland,,53,66,76,75,61
7,Greece,,896,2141,3968,5194,4696
8,Spain,,899,1425,2106,2584,2731
9,France,,1771,2473,3189,3429,3038
10,Croatia,,351,410,491,588,690
11,Italy,,1658,2497,4815,8688,10288
12,Cyprus,,24,52,108,170,193
13,Latvia,,85,94,97,108,116
14,Lithuania,,82,61,65,76,92
15,Luxembourg,,17,14,16,23,30
16,Hungary,,714,525,372,251,219
17,Malta,,24,45,63,71,63
18,Netherlands,,204,174,174,197,238
19,Austria,,99,71,65,52,57
20,Poland,,2627,2324,1922,1644,1701
21,Portugal,,486,800,1437,2392,2668
22,Romania,,202,233,363,676,1430
23,Slovenia,,46,43,53,77,107
24,Slovakia,,250,180,135,118,132
25,Finland,,90,131,201,300,443
26,Sweden,,64,78,76,78,107
27,United Kingdom,,1087,1158,1605,2078,2380
28,Iceland,,0,0,0,1,2
29,Liechtenstein,,1,1,0,0,0
30,Norway,,41,28,25,20,16
31,Switzerland,,196,241,261,275,289
