,Region,508,514,521,528,535,542
0,Belgium,,57,43,37,24,14
1,Bulgaria,,73,54,44,31,21
2,Czechia,,34,25,6,9,10
3,Denmark,,5,4,3,2,1
4,Germany,,483,327,256,176,114
5,Estonia,,4,2,3,1,1
6,Ireland,,0,0,0,0,0
7,Greece,,152,117,92,66,46
8,Spain,,304,311,91,219,291
9,France,,393,309,71,114,116
10,Croatia,,37,24,19,15,10
11,Italy,,331,238,201,148,100
12,Cyprus,,6,5,4,4,3
13,Latvia,,31,25,21,16,13
14,Lithuania,,28,18,20,12,6
15,Luxembourg,,1,2,0,0,1
16,Hungary,,65,44,32,22,13
17,Malta,,0,0,0,0,0
18,Netherlands,,38,28,22,15,10
19,Austria,,20,15,25,15,7
20,Poland,,279,156,108,73,47
21,Portugal,,14,17,22,22,21
22,Romania,,744,464,358,271,203
23,Slovenia,,11,10,8,5,4
24,Slovakia,,29,24,23,19,16
25,Finland,,4,4,4,2,2
26,Sweden,,20,9,24,17,11
27,United Kingdom,,84,125,154,197,235
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,0,0,0,0,0
31,Switzerland,,16,12,8,5,2
