,Region,494,500,507,514,521,528
0,Belgium,,94,84,87,73,60
1,Bulgaria,,136,86,67,43,28
2,Czechia,,84,57,24,21,18
3,Denmark,,8,9,8,8,6
4,Germany,,737,528,407,278,187
5,Estonia,,10,7,7,4,3
6,Ireland,,0,0,0,0,0
7,Greece,,291,255,244,200,159
8,Spain,,221,199,54,108,129
9,France,,663,515,135,276,322
10,Croatia,,106,67,48,31,19
11,Italy,,760,538,439,325,228
12,Cyprus,,4,2,2,1,0
13,Latvia,,49,38,32,24,18
14,Lithuania,,67,49,47,31,19
15,Luxembourg,,3,2,0,1,0
16,Hungary,,208,135,97,60,37
17,Malta,,0,1,3,2,0
18,Netherlands,,76,57,48,35,25
19,Austria,,43,30,39,24,14
20,Poland,,745,439,279,164,97
21,Portugal,,7,8,11,10,9
22,Romania,,300,188,128,83,53
23,Slovenia,,18,15,12,11,7
24,Slovakia,,40,26,18,12,7
25,Finland,,14,12,13,9,5
26,Sweden,,66,47,28,14,7
27,United Kingdom,,59,64,54,73,84
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,2,1,2,2,2
31,Switzerland,,30,26,22,17,14
