,Region,788,794,801,808,815,822
0,Belgium,,107,65,48,46,51
1,Bulgaria,,114,82,77,72,68
2,Czechia,,135,108,100,99,103
3,Denmark,,233,174,117,69,41
4,Germany,,1440,1664,1702,1264,886
5,Estonia,,41,28,20,14,10
6,Ireland,,38,39,38,38,35
7,Greece,,395,372,374,401,430
8,Spain,,401,341,301,287,305
9,France,,429,303,276,330,414
10,Croatia,,79,70,64,52,45
11,Italy,,722,792,908,938,1052
12,Cyprus,,28,25,24,24,27
13,Latvia,,96,126,155,136,104
14,Lithuania,,78,72,69,65,61
15,Luxembourg,,3,3,2,3,2
16,Hungary,,177,118,82,56,39
17,Malta,,8,10,14,21,31
18,Netherlands,,75,77,81,70,53
19,Austria,,242,282,314,278,202
20,Poland,,586,501,457,442,453
21,Portugal,,79,53,41,37,39
22,Romania,,248,178,142,114,96
23,Slovenia,,21,21,25,34,48
24,Slovakia,,588,516,464,415,373
25,Finland,,107,121,159,169,150
26,Sweden,,215,99,41,29,21
27,United Kingdom,,296,257,341,456,575
28,Iceland,,11,10,6,1,0
29,Liechtenstein,,2,1,1,1,1
30,Norway,,109,102,83,71,53
31,Switzerland,,63,67,79,90,88
