,Region,690,696,703,710,717,724
0,Belgium,,402,420,408,441,457
1,Bulgaria,,557,468,398,340,297
2,Czechia,,978,986,867,788,776
3,Denmark,,83,111,122,104,82
4,Germany,,2825,3043,7792,14596,11034
5,Estonia,,25,20,17,14,11
6,Ireland,,73,78,77,63,43
7,Greece,,613,556,462,352,246
8,Spain,,342,562,757,2049,6168
9,France,,1293,2157,2899,5541,11139
10,Croatia,,415,362,278,234,188
11,Italy,,786,1075,1265,1452,1901
12,Cyprus,,10,13,14,13,12
13,Latvia,,103,85,73,61,50
14,Lithuania,,119,113,108,96,76
15,Luxembourg,,14,17,19,27,35
16,Hungary,,1439,1352,1058,793,528
17,Malta,,2,3,4,4,4
18,Netherlands,,453,462,520,657,727
19,Austria,,349,239,128,59,21
20,Poland,,3153,3454,3397,3046,2504
21,Portugal,,183,261,316,406,510
22,Romania,,398,257,169,112,74
23,Slovenia,,89,68,41,32,21
24,Slovakia,,581,538,443,377,301
25,Finland,,72,83,96,116,149
26,Sweden,,35,54,72,252,498
27,United Kingdom,,934,1005,1034,1026,1125
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,4,5,5,6,5
30,Norway,,57,79,105,156,207
31,Switzerland,,193,254,316,413,554
