,Region,452,458,465,472,479,486
0,Belgium,,267,236,231,215,203
1,Bulgaria,,702,577,464,359,279
2,Czechia,,547,421,366,289,236
3,Denmark,,13,12,12,12,12
4,Germany,,1514,1713,2010,2159,2309
5,Estonia,,54,41,33,26,20
6,Ireland,,59,49,45,41,35
7,Greece,,604,615,599,568,537
8,Spain,,660,770,827,910,989
9,France,,2108,2118,2186,2064,1987
10,Croatia,,282,325,385,443,511
11,Italy,,2583,2225,2094,1876,1710
12,Cyprus,,15,18,20,23,24
13,Latvia,,56,60,68,74,80
14,Lithuania,,104,123,138,150,163
15,Luxembourg,,17,17,15,14,13
16,Hungary,,1538,1201,1099,969,818
17,Malta,,3,3,2,3,2
18,Netherlands,,180,179,187,184,187
19,Austria,,211,188,174,162,151
20,Poland,,3785,3163,2928,2801,2649
21,Portugal,,37,41,44,47,51
22,Romania,,1000,847,710,592,492
23,Slovenia,,44,43,41,38,35
24,Slovakia,,491,403,370,324,290
25,Finland,,15,11,10,8,7
26,Sweden,,154,171,170,174,187
27,United Kingdom,,178,129,119,120,120
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,7,5,5,4,4
31,Switzerland,,50,55,56,53,50
