,Region,732,738,745,752,759,766
0,Belgium,,230,285,297,283,240
1,Bulgaria,,608,821,1043,1253,1405
2,Czechia,,241,343,435,450,404
3,Denmark,,142,176,107,40,13
4,Germany,,1439,1810,2170,2544,2765
5,Estonia,,33,50,71,88,97
6,Ireland,,51,19,7,3,1
7,Greece,,599,442,314,184,97
8,Spain,,1014,940,789,591,375
9,France,,1371,1273,1197,913,608
10,Croatia,,230,180,146,126,107
11,Italy,,2573,2488,2131,1494,842
12,Cyprus,,36,39,25,15,8
13,Latvia,,110,182,285,446,564
14,Lithuania,,140,177,219,255,272
15,Luxembourg,,10,10,10,9,8
16,Hungary,,923,1427,1995,2407,2447
17,Malta,,11,6,3,1,0
18,Netherlands,,113,97,86,72,61
19,Austria,,191,269,280,208,150
20,Poland,,1429,1697,2550,4102,6434
21,Portugal,,133,147,130,96,55
22,Romania,,477,804,1335,2087,2899
23,Slovenia,,78,108,128,123,98
24,Slovakia,,153,161,218,302,367
25,Finland,,48,45,11,4,2
26,Sweden,,247,243,142,73,37
27,United Kingdom,,1383,1187,784,601,375
28,Iceland,,3,1,1,0,0
29,Liechtenstein,,1,1,1,0,0
30,Norway,,32,38,44,46,45
31,Switzerland,,103,91,76,61,44
