,Region,473,479,486,493,500,507
0,Belgium,,245,227,222,205,196
1,Bulgaria,,341,241,167,114,79
2,Czechia,,300,247,211,173,144
3,Denmark,,12,12,14,17,21
4,Germany,,1466,1337,1191,1033,892
5,Estonia,,24,23,22,21,20
6,Ireland,,19,19,18,17,15
7,Greece,,508,436,405,362,327
8,Spain,,540,482,396,352,317
9,France,,1402,1118,940,762,625
10,Croatia,,286,247,213,179,152
11,Italy,,1583,1404,1257,1109,985
12,Cyprus,,21,17,13,11,8
13,Latvia,,64,66,68,68,65
14,Lithuania,,89,94,98,102,104
15,Luxembourg,,5,5,4,3,2
16,Hungary,,699,472,359,267,201
17,Malta,,2,2,1,1,0
18,Netherlands,,160,153,147,140,133
19,Austria,,141,119,98,79,64
20,Poland,,1468,925,692,523,393
21,Portugal,,13,11,10,8,8
22,Romania,,598,417,325,257,201
23,Slovenia,,33,32,33,33,33
24,Slovakia,,232,193,166,140,118
25,Finland,,7,6,7,6,6
26,Sweden,,115,109,101,87,77
27,United Kingdom,,105,97,92,86,81
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,9,8,8,8,7
31,Switzerland,,60,53,43,31,24
