,Region,557,563,570,577,584,591
0,Belgium,,23,26,32,37,43
1,Bulgaria,,21,28,45,67,100
2,Czechia,,17,15,14,12,11
3,Denmark,,6,6,6,5,4
4,Germany,,234,337,422,518,625
5,Estonia,,1,2,3,4,6
6,Ireland,,14,24,31,33,33
7,Greece,,123,150,150,147,140
8,Spain,,333,356,340,312,267
9,France,,335,705,1210,1542,1882
10,Croatia,,10,13,16,18,20
11,Italy,,164,306,475,593,722
12,Cyprus,,23,21,18,14,11
13,Latvia,,6,7,8,9,11
14,Lithuania,,5,9,17,25,34
15,Luxembourg,,1,1,1,1,1
16,Hungary,,7,8,9,10,11
17,Malta,,9,16,15,11,8
18,Netherlands,,87,133,100,65,47
19,Austria,,13,18,21,23,26
20,Poland,,23,25,30,34,39
21,Portugal,,100,102,90,78,65
22,Romania,,41,69,111,164,250
23,Slovenia,,2,3,3,4,4
24,Slovakia,,4,5,6,8,10
25,Finland,,5,6,8,11,15
26,Sweden,,5,6,7,8,8
27,United Kingdom,,652,597,450,352,271
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,1,2,2,2,2
31,Switzerland,,13,16,17,18,18
