,Region,410,416,423,430,437,444
0,Belgium,,193,218,223,199,175
1,Bulgaria,,408,481,483,473,467
2,Czechia,,1510,1815,2006,2041,2021
3,Denmark,,22,25,25,26,28
4,Germany,,1937,2061,2158,2197,2331
5,Estonia,,59,65,65,66,67
6,Ireland,,108,91,79,70,62
7,Greece,,246,249,222,209,192
8,Spain,,1341,934,638,397,248
9,France,,2313,2559,2571,2487,2413
10,Croatia,,79,96,115,126,138
11,Italy,,1885,2340,2784,3123,3481
12,Cyprus,,1,1,3,2,4
13,Latvia,,72,69,68,65,62
14,Lithuania,,87,89,87,82,78
15,Luxembourg,,15,15,13,10,9
16,Hungary,,1056,1369,1507,1732,1952
17,Malta,,16,21,24,26,28
18,Netherlands,,355,387,405,426,446
19,Austria,,173,204,231,257,288
20,Poland,,1879,2496,3085,3551,4059
21,Portugal,,181,114,89,73,60
22,Romania,,572,689,789,891,1058
23,Slovenia,,57,57,61,60,61
24,Slovakia,,698,749,794,833,871
25,Finland,,19,23,24,27,28
26,Sweden,,151,146,143,134,125
27,United Kingdom,,1615,1255,971,752,581
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,8,11,14,17,22
31,Switzerland,,69,67,62,53,46
