,Region,529,535,542,549,556,563
0,Belgium,,18,17,15,12,8
1,Bulgaria,,42,35,30,27,22
2,Czechia,,14,13,12,10,9
3,Denmark,,3,2,3,2,3
4,Germany,,231,142,108,68,40
5,Estonia,,0,1,0,0,0
6,Ireland,,11,11,13,9,7
7,Greece,,53,46,51,48,43
8,Spain,,122,142,170,184,184
9,France,,145,112,102,81,63
10,Croatia,,16,13,12,11,10
11,Italy,,149,106,86,60,39
12,Cyprus,,0,0,0,0,0
13,Latvia,,11,8,6,4,3
14,Lithuania,,9,4,3,1,1
15,Luxembourg,,0,0,0,0,0
16,Hungary,,14,10,7,5,3
17,Malta,,0,0,1,0,0
18,Netherlands,,10,7,7,4,3
19,Austria,,9,7,4,4,2
20,Poland,,106,70,52,33,21
21,Portugal,,30,36,35,31,26
22,Romania,,693,496,416,323,247
23,Slovenia,,2,1,1,0,0
24,Slovakia,,14,10,8,6,4
25,Finland,,3,4,6,7,7
26,Sweden,,16,14,11,8,5
27,United Kingdom,,147,188,209,217,213
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,2,2,2,1,1
31,Switzerland,,6,4,3,2,1
