,Region,592,598,605,612,619,626
0,Belgium,,40,41,40,40,40
1,Bulgaria,,586,734,788,918,1079
2,Czechia,,10,11,13,14,16
3,Denmark,,12,11,10,8,7
4,Germany,,323,484,640,760,889
5,Estonia,,9,10,11,14,17
6,Ireland,,20,17,12,9,6
7,Greece,,258,234,219,206,201
8,Spain,,510,356,277,221,172
9,France,,731,588,474,376,290
10,Croatia,,49,63,77,99,133
11,Italy,,405,408,402,379,349
12,Cyprus,,12,9,8,7,6
13,Latvia,,13,18,26,36,50
14,Lithuania,,70,75,82,92,109
15,Luxembourg,,0,1,1,1,1
16,Hungary,,8,14,22,27,32
17,Malta,,2,2,2,2,2
18,Netherlands,,58,53,52,51,50
19,Austria,,21,29,34,38,42
20,Poland,,37,39,49,61,75
21,Portugal,,74,69,61,51,41
22,Romania,,247,390,527,714,986
23,Slovenia,,15,24,33,39,48
24,Slovakia,,2,3,4,6,9
25,Finland,,9,8,8,7,7
26,Sweden,,14,16,17,16,15
27,United Kingdom,,844,884,901,907,897
28,Iceland,,1,1,1,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,8,11,17,20,26
31,Switzerland,,51,49,43,38,33
