,Region,823,829,836,843,850,857
0,Belgium,,119,114,104,89,80
1,Bulgaria,,34,28,25,22,21
2,Czechia,,98,79,60,44,33
3,Denmark,,48,33,24,21,26
4,Germany,,1071,913,683,641,684
5,Estonia,,12,8,7,5,4
6,Ireland,,53,40,30,25,25
7,Greece,,471,439,388,333,254
8,Spain,,224,177,186,211,263
9,France,,1394,1324,1223,1101,1093
10,Croatia,,40,29,13,8,3
11,Italy,,1035,1018,974,1107,1340
12,Cyprus,,24,31,37,33,21
13,Latvia,,18,13,10,7,5
14,Lithuania,,33,23,17,15,14
15,Luxembourg,,8,10,10,9,7
16,Hungary,,126,119,115,117,126
17,Malta,,28,39,40,33,25
18,Netherlands,,60,45,30,19,11
19,Austria,,132,97,76,76,97
20,Poland,,92,64,42,32,27
21,Portugal,,76,72,65,65,67
22,Romania,,67,53,41,32,25
23,Slovenia,,20,13,12,12,15
24,Slovakia,,103,81,57,39,28
25,Finland,,159,170,164,173,192
26,Sweden,,40,31,23,13,7
27,United Kingdom,,1430,979,733,656,639
28,Iceland,,2,1,1,1,2
29,Liechtenstein,,0,0,0,0,0
30,Norway,,56,34,22,14,9
31,Switzerland,,18,17,17,21,31
