,Region,620,626,633,640,647,654
0,Belgium,,55,53,49,44,42
1,Bulgaria,,526,557,609,687,768
2,Czechia,,34,38,46,56,69
3,Denmark,,11,8,8,10,10
4,Germany,,358,329,316,308,292
5,Estonia,,21,26,30,35,40
6,Ireland,,32,31,31,31,31
7,Greece,,219,213,211,206,199
8,Spain,,194,153,132,110,90
9,France,,294,218,175,150,124
10,Croatia,,129,161,169,186,217
11,Italy,,295,247,209,185,157
12,Cyprus,,3,3,2,2,2
13,Latvia,,65,93,122,158,200
14,Lithuania,,175,223,275,315,350
15,Luxembourg,,1,1,1,1,1
16,Hungary,,66,90,105,105,86
17,Malta,,2,1,1,1,1
18,Netherlands,,38,34,32,30,28
19,Austria,,67,65,64,60,57
20,Poland,,159,211,274,338,413
21,Portugal,,27,21,17,15,12
22,Romania,,2044,3663,5827,7863,10308
23,Slovenia,,46,45,43,42,40
24,Slovakia,,82,125,155,170,208
25,Finland,,10,9,11,13,14
26,Sweden,,40,31,28,24,20
27,United Kingdom,,847,918,944,952,946
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,10,8,6,5,4
31,Switzerland,,49,35,26,21,16
