,Region,536,542,549,556,563,570
0,Belgium,,18,23,26,27,25
1,Bulgaria,,51,44,41,37,32
2,Czechia,,13,16,17,19,20
3,Denmark,,2,3,3,2,0
4,Germany,,177,151,148,124,95
5,Estonia,,1,0,1,0,1
6,Ireland,,8,10,11,12,13
7,Greece,,66,111,163,217,276
8,Spain,,128,192,239,269,281
9,France,,174,198,233,249,256
10,Croatia,,14,13,15,15,14
11,Italy,,102,97,105,100,91
12,Cyprus,,6,12,16,21,25
13,Latvia,,12,10,7,6,4
14,Lithuania,,4,3,2,2,1
15,Luxembourg,,1,2,3,4,5
16,Hungary,,9,6,4,3,3
17,Malta,,0,0,0,0,0
18,Netherlands,,14,26,45,62,72
19,Austria,,10,9,10,8,7
20,Poland,,76,55,45,33,23
21,Portugal,,45,60,68,69,66
22,Romania,,388,319,286,243,205
23,Slovenia,,2,2,1,2,1
24,Slovakia,,5,5,3,3,3
25,Finland,,5,6,8,9,9
26,Sweden,,11,8,7,4,3
27,United Kingdom,,151,185,190,185,175
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,2,2,2,2,1
31,Switzerland,,6,5,7,6,7
