,Region,515,521,528,535,542,549
0,Belgium,,41,26,17,10,5
1,Bulgaria,,68,50,42,34,26
2,Czechia,,43,29,7,8,8
3,Denmark,,5,3,0,1,1
4,Germany,,434,273,176,107,64
5,Estonia,,1,0,1,0,0
6,Ireland,,22,20,20,17,15
7,Greece,,106,71,51,34,22
8,Spain,,226,221,58,84,81
9,France,,293,187,41,54,52
10,Croatia,,36,23,18,11,8
11,Italy,,260,189,146,104,66
12,Cyprus,,3,3,2,3,3
13,Latvia,,35,26,19,14,10
14,Lithuania,,19,11,7,5,2
15,Luxembourg,,0,0,0,0,0
16,Hungary,,33,21,13,9,5
17,Malta,,1,0,0,0,0
18,Netherlands,,16,11,7,5,3
19,Austria,,16,12,8,5,4
20,Poland,,215,132,95,62,40
21,Portugal,,18,23,31,36,41
22,Romania,,467,308,223,158,110
23,Slovenia,,11,7,5,3,2
24,Slovakia,,33,24,16,10,6
25,Finland,,3,3,2,2,1
26,Sweden,,21,13,5,1,1
27,United Kingdom,,98,141,169,193,206
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,1,0,0,0
30,Norway,,1,0,1,0,0
31,Switzerland,,9,6,3,3,1
