,Region,718,724,731,738,745,752
0,Belgium,,97,90,101,137,181
1,Bulgaria,,520,910,1746,3257,5828
2,Czechia,,294,186,122,106,125
3,Denmark,,106,111,99,94,70
4,Germany,,1283,828,820,1009,1350
5,Estonia,,22,26,32,46,66
6,Ireland,,37,54,68,71,64
7,Greece,,505,1016,2323,3418,3774
8,Spain,,641,955,1259,1505,1535
9,France,,1649,1913,2243,2644,2658
10,Croatia,,290,388,515,660,819
11,Italy,,1612,2117,2901,3812,4581
12,Cyprus,,19,32,55,92,113
13,Latvia,,73,99,161,248,368
14,Lithuania,,88,47,51,76,106
15,Luxembourg,,6,6,8,12,18
16,Hungary,,491,385,328,374,456
17,Malta,,14,19,15,11,6
18,Netherlands,,132,138,174,217,257
19,Austria,,75,99,171,291,502
20,Poland,,1972,1516,1282,1226,1533
21,Portugal,,87,150,181,97,64
22,Romania,,178,296,714,2331,8269
23,Slovenia,,52,77,128,215,366
24,Slovakia,,201,137,90,69,57
25,Finland,,85,123,199,296,396
26,Sweden,,69,57,48,85,166
27,United Kingdom,,1132,1064,1124,1312,1306
28,Iceland,,3,7,10,10,8
29,Liechtenstein,,1,1,1,1,1
30,Norway,,39,32,31,38,52
31,Switzerland,,115,117,121,144,150
