,Region,606,612,619,626,633,640
0,Belgium,,46,46,48,48,48
1,Bulgaria,,489,498,543,587,637
2,Czechia,,16,19,22,25,29
3,Denmark,,11,8,6,5,3
4,Germany,,396,379,364,340,313
5,Estonia,,16,17,17,19,21
6,Ireland,,22,23,22,21,19
7,Greece,,272,229,208,211,210
8,Spain,,319,212,163,120,88
9,France,,475,362,283,224,172
10,Croatia,,92,125,158,207,277
11,Italy,,359,308,272,233,196
12,Cyprus,,8,7,4,2,1
13,Latvia,,44,57,67,77,87
14,Lithuania,,110,134,161,196,249
15,Luxembourg,,2,2,2,2,1
16,Hungary,,45,60,76,96,121
17,Malta,,4,3,3,2,2
18,Netherlands,,52,50,45,41,37
19,Austria,,61,72,81,86,91
20,Poland,,72,98,131,164,204
21,Portugal,,44,33,27,21,16
22,Romania,,579,826,1406,2034,3027
23,Slovenia,,31,42,58,69,79
24,Slovakia,,12,20,34,46,62
25,Finland,,8,7,7,7,7
26,Sweden,,42,34,34,32,30
27,United Kingdom,,1053,1084,1016,883,776
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,17,17,14,10,8
31,Switzerland,,49,56,57,46,37
