,Region,648,654,661,668,675,682
0,Belgium,,162,218,268,385,555
1,Bulgaria,,1041,1383,1730,1581,1544
2,Czechia,,168,268,496,1257,3256
3,Denmark,,20,28,38,37,44
4,Germany,,681,857,869,1183,1651
5,Estonia,,45,59,81,122,176
6,Ireland,,69,73,63,57,53
7,Greece,,292,341,317,326,341
8,Spain,,186,185,201,238,300
9,France,,221,232,263,327,424
10,Croatia,,204,270,260,303,335
11,Italy,,269,292,273,447,804
12,Cyprus,,7,7,6,6,6
13,Latvia,,235,281,261,236,213
14,Lithuania,,243,295,373,487,642
15,Luxembourg,,2,3,3,6,12
16,Hungary,,249,371,519,508,627
17,Malta,,0,0,0,0,0
18,Netherlands,,110,146,246,484,933
19,Austria,,109,137,132,133,136
20,Poland,,693,1195,1829,1812,2911
21,Portugal,,33,35,37,40,46
22,Romania,,3326,3568,3096,2431,1985
23,Slovenia,,63,81,129,253,464
24,Slovakia,,105,160,227,217,257
25,Finland,,23,23,24,22,24
26,Sweden,,33,32,31,32,57
27,United Kingdom,,1100,1149,1480,1872,2297
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,1,1,0,0,0
30,Norway,,9,11,11,16,22
31,Switzerland,,35,34,34,44,61
