,Region,627,633,640,647,654,661
0,Belgium,,58,57,57,58,58
1,Bulgaria,,639,728,788,849,924
2,Czechia,,31,44,54,67,86
3,Denmark,,8,9,11,13,14
4,Germany,,358,328,331,332,325
5,Estonia,,33,39,47,57,68
6,Ireland,,34,34,33,32,31
7,Greece,,217,216,215,210,203
8,Spain,,193,152,136,123,115
9,France,,255,220,213,195,176
10,Croatia,,110,122,134,155,180
11,Italy,,237,204,181,155,128
12,Cyprus,,3,2,2,2,2
13,Latvia,,87,130,166,203,238
14,Lithuania,,219,279,343,394,439
15,Luxembourg,,1,1,1,1,1
16,Hungary,,88,102,120,130,119
17,Malta,,1,1,1,1,1
18,Netherlands,,32,36,41,45,50
19,Austria,,62,64,70,83,106
20,Poland,,219,292,420,557,752
21,Portugal,,26,18,17,16,15
22,Romania,,3075,4600,5480,6341,7094
23,Slovenia,,41,41,39,37,35
24,Slovakia,,97,136,194,300,491
25,Finland,,13,11,13,14,14
26,Sweden,,30,28,27,24,22
27,United Kingdom,,857,909,935,944,937
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,7,5,4,3,3
31,Switzerland,,23,19,16,13,10
