,Region,802,808,815,822,829,836
0,Belgium,,90,97,98,99,113
1,Bulgaria,,125,106,88,73,62
2,Czechia,,125,114,106,97,95
3,Denmark,,105,73,48,33,26
4,Germany,,1902,1763,1382,1154,911
5,Estonia,,24,17,13,11,9
6,Ireland,,101,88,84,86,81
7,Greece,,521,575,586,540,480
8,Spain,,275,258,257,248,215
9,France,,672,855,934,911,963
10,Croatia,,65,55,32,27,23
11,Italy,,1265,1309,1234,1351,1494
12,Cyprus,,19,26,33,38,36
13,Latvia,,27,19,13,9,7
14,Lithuania,,61,51,43,34,28
15,Luxembourg,,7,8,6,1,1
16,Hungary,,210,193,196,223,249
17,Malta,,10,13,17,22,30
18,Netherlands,,93,68,47,34,28
19,Austria,,292,227,161,93,80
20,Poland,,404,285,209,142,96
21,Portugal,,91,91,97,143,233
22,Romania,,157,126,116,107,98
23,Slovenia,,30,30,30,31,32
24,Slovakia,,136,116,98,80,67
25,Finland,,229,189,117,74,24
26,Sweden,,33,26,20,15,13
27,United Kingdom,,1081,1088,1074,1058,1090
28,Iceland,,5,3,1,0,0
29,Liechtenstein,,2,1,1,1,0
30,Norway,,75,45,28,18,11
31,Switzerland,,87,86,75,56,39
