,Region,830,836,843,850,857,864
0,Belgium,,128,109,91,87,97
1,Bulgaria,,55,44,34,27,24
2,Czechia,,65,46,34,27,25
3,Denmark,,21,16,12,11,12
4,Germany,,1177,1039,847,743,730
5,Estonia,,8,6,5,4,3
6,Ireland,,76,46,30,24,23
7,Greece,,216,168,140,133,134
8,Spain,,264,190,200,229,206
9,France,,791,687,593,570,612
10,Croatia,,38,30,28,23,6
11,Italy,,1254,1228,1166,1115,1240
12,Cyprus,,11,11,8,6,6
13,Latvia,,13,10,8,6,6
14,Lithuania,,31,22,16,13,10
15,Luxembourg,,8,7,6,5,4
16,Hungary,,188,176,166,158,157
17,Malta,,27,36,43,39,28
18,Netherlands,,36,21,11,6,5
19,Austria,,74,55,48,53,72
20,Poland,,79,53,40,34,31
21,Portugal,,125,134,132,136,166
22,Romania,,48,39,31,24,20
23,Slovenia,,19,16,12,13,106
24,Slovakia,,110,80,58,41,30
25,Finland,,271,221,181,193,200
26,Sweden,,59,46,38,21,12
27,United Kingdom,,1044,712,534,431,413
28,Iceland,,3,2,1,0,1
29,Liechtenstein,,0,0,0,0,0
30,Norway,,36,23,14,9,6
31,Switzerland,,21,16,16,20,29
