,Region,655,661,668,675,682,689
0,Belgium,,205,314,400,467,602
1,Bulgaria,,1377,1831,1954,1967,2166
2,Czechia,,332,589,959,1390,2059
3,Denmark,,23,40,56,70,96
4,Germany,,998,1328,1622,1986,2342
5,Estonia,,84,103,119,131,162
6,Ireland,,74,86,92,97,104
7,Greece,,390,448,506,600,696
8,Spain,,194,197,199,204,213
9,France,,251,290,320,329,330
10,Croatia,,326,443,540,667,773
11,Italy,,330,408,473,529,582
12,Cyprus,,5,6,6,6,6
13,Latvia,,260,251,221,194,161
14,Lithuania,,275,288,280,263,235
15,Luxembourg,,4,5,5,5,6
16,Hungary,,615,1005,1383,1978,2647
17,Malta,,1,1,1,1,0
18,Netherlands,,132,200,283,360,462
19,Austria,,171,264,357,446,513
20,Poland,,1123,2059,3169,4366,6641
21,Portugal,,40,43,45,47,53
22,Romania,,3037,2505,1963,1589,1244
23,Slovenia,,104,138,170,231,299
24,Slovakia,,219,343,449,558,735
25,Finland,,25,25,30,35,42
26,Sweden,,33,38,44,45,41
27,United Kingdom,,1279,1290,1146,991,713
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,1,1,1,1,1
30,Norway,,20,28,35,48,64
31,Switzerland,,52,66,82,99,119
