,Region,669,675,682,689,696,703
0,Belgium,,301,471,602,691,731
1,Bulgaria,,1021,897,758,617,498
2,Czechia,,797,1241,1666,2292,3050
3,Denmark,,43,66,84,101,116
4,Germany,,1789,2638,3217,3574,3634
5,Estonia,,61,45,34,26,20
6,Ireland,,78,117,141,144,130
7,Greece,,682,923,1007,1074,1152
8,Spain,,203,323,434,556,705
9,France,,268,362,568,795,1029
10,Croatia,,508,576,544,500,432
11,Italy,,486,657,877,1028,1148
12,Cyprus,,7,9,10,11,12
13,Latvia,,173,119,86,60,41
14,Lithuania,,199,174,142,108,79
15,Luxembourg,,7,8,9,16,52
16,Hungary,,1334,2120,2625,3026,3102
17,Malta,,1,1,2,2,1
18,Netherlands,,304,479,640,802,919
19,Austria,,393,617,847,962,881
20,Poland,,2442,4002,5484,7766,10878
21,Portugal,,52,69,98,128,174
22,Romania,,1466,892,577,374,239
23,Slovenia,,140,165,175,176,166
24,Slovakia,,404,523,592,612,575
25,Finland,,34,34,32,32,33
26,Sweden,,33,36,39,40,32
27,United Kingdom,,991,974,925,724,452
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,55,71,87,115,206
31,Switzerland,,75,113,165,213,265
