,Region,438,444,451,458,465,472
0,Belgium,,284,330,327,293,268
1,Bulgaria,,850,901,868,793,719
2,Czechia,,992,783,636,505,406
3,Denmark,,16,16,17,19,19
4,Germany,,1206,1404,1412,1363,1317
5,Estonia,,71,61,49,40,32
6,Ireland,,63,64,64,65,65
7,Greece,,483,535,595,653,712
8,Spain,,1038,1210,1290,1266,1248
9,France,,2005,2327,2330,2237,2151
10,Croatia,,178,258,340,433,551
11,Italy,,3038,2912,2788,2650,2518
12,Cyprus,,10,10,10,10,10
13,Latvia,,51,51,49,47,43
14,Lithuania,,83,102,119,142,169
15,Luxembourg,,13,14,14,11,11
16,Hungary,,1916,2006,1963,1860,1736
17,Malta,,12,6,4,2,1
18,Netherlands,,198,224,235,242,247
19,Austria,,213,230,229,216,205
20,Poland,,3531,4265,4578,4559,4583
21,Portugal,,43,40,39,38,37
22,Romania,,1114,1178,1180,1126,1069
23,Slovenia,,57,67,76,81,87
24,Slovakia,,423,346,307,265,232
25,Finland,,13,12,10,10,8
26,Sweden,,100,110,102,92,82
27,United Kingdom,,289,261,227,207,190
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,14,14,12,11,10
31,Switzerland,,55,64,64,58,52
