,Region,662,668,675,682,689,696
0,Belgium,,273,394,492,588,689
1,Bulgaria,,1262,1196,1063,1002,942
2,Czechia,,601,979,1281,1631,1877
3,Denmark,,42,62,84,107,138
4,Germany,,1395,1880,2516,3219,3941
5,Estonia,,95,115,99,87,94
6,Ireland,,87,123,148,170,185
7,Greece,,482,657,872,1053,1333
8,Spain,,178,188,202,210,213
9,France,,251,289,365,433,476
10,Croatia,,472,632,785,905,986
11,Italy,,409,493,628,773,893
12,Cyprus,,7,8,10,11,12
13,Latvia,,232,182,140,108,80
14,Lithuania,,240,235,219,189,157
15,Luxembourg,,6,7,5,4,7
16,Hungary,,1011,1725,2705,3753,4997
17,Malta,,1,1,1,1,1
18,Netherlands,,242,364,511,655,831
19,Austria,,242,365,546,687,765
20,Poland,,1763,3308,4550,6216,8315
21,Portugal,,48,64,81,101,130
22,Romania,,2225,1537,1091,794,569
23,Slovenia,,133,180,215,246,298
24,Slovakia,,357,485,605,708,833
25,Finland,,28,32,33,34,41
26,Sweden,,34,41,41,40,36
27,United Kingdom,,1029,971,864,567,332
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,34,45,54,72,94
31,Switzerland,,57,74,104,135,173
