,Region,753,759,766,773,780,787
0,Belgium,,398,261,144,61,28
1,Bulgaria,,604,524,428,343,271
2,Czechia,,381,340,284,250,225
3,Denmark,,176,109,75,2,0
4,Germany,,1268,1098,867,638,464
5,Estonia,,58,57,48,35,24
6,Ireland,,26,18,20,18,7
7,Greece,,645,503,362,257,174
8,Spain,,1545,997,887,839,1003
9,France,,1941,1318,765,302,147
10,Croatia,,309,300,303,345,438
11,Italy,,1937,1419,1056,850,714
12,Cyprus,,28,24,18,13,9
13,Latvia,,97,88,69,49,32
14,Lithuania,,122,104,83,64,49
15,Luxembourg,,13,12,9,6,4
16,Hungary,,605,479,376,288,220
17,Malta,,11,6,4,2,2
18,Netherlands,,134,190,217,119,64
19,Austria,,157,132,102,80,50
20,Poland,,1819,2053,1819,1420,1131
21,Portugal,,276,170,93,29,10
22,Romania,,1141,1145,981,852,728
23,Slovenia,,106,72,41,20,9
24,Slovakia,,369,682,920,987,889
25,Finland,,54,68,81,73,62
26,Sweden,,282,191,80,33,7
27,United Kingdom,,1299,1739,2043,1068,623
28,Iceland,,4,4,4,4,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,52,50,47,35,28
31,Switzerland,,149,131,102,72,56
