,Region,445,451,458,465,472,479
0,Belgium,,310,287,285,234,189
1,Bulgaria,,805,742,673,532,414
2,Czechia,,758,556,452,339,258
3,Denmark,,13,14,13,12,12
4,Germany,,1320,1350,1526,1441,1351
5,Estonia,,67,50,43,31,22
6,Ireland,,65,60,67,52,40
7,Greece,,567,629,690,643,586
8,Spain,,560,630,184,493,702
9,France,,1742,1680,1235,964,729
10,Croatia,,283,348,420,412,399
11,Italy,,3062,2659,2431,2011,1664
12,Cyprus,,10,13,15,17,17
13,Latvia,,59,57,62,57,52
14,Lithuania,,76,90,124,116,108
15,Luxembourg,,12,11,3,6,6
16,Hungary,,1724,1435,1210,897,642
17,Malta,,4,3,4,3,1
18,Netherlands,,186,187,194,178,161
19,Austria,,234,224,237,195,159
20,Poland,,3804,3638,3343,2673,2045
21,Portugal,,39,41,56,52,50
22,Romania,,1083,1034,1002,885,774
23,Slovenia,,56,60,65,63,61
24,Slovakia,,475,383,347,272,213
25,Finland,,16,13,13,9,6
26,Sweden,,107,116,128,125,120
27,United Kingdom,,227,169,99,75,57
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,8,8,8,6,5
31,Switzerland,,88,91,91,75,59
