,Region,781,787,794,801,808,815
0,Belgium,,64,46,44,47,38
1,Bulgaria,,155,131,121,131,112
2,Czechia,,163,126,111,107,111
3,Denmark,,301,241,174,107,50
4,Germany,,1225,1377,1503,1374,1120
5,Estonia,,59,49,37,25,16
6,Ireland,,61,55,54,56,57
7,Greece,,371,372,368,328,313
8,Spain,,591,400,314,273,210
9,France,,508,395,355,336,355
10,Croatia,,86,64,58,47,53
11,Italy,,734,649,733,979,1169
12,Cyprus,,32,29,29,31,33
13,Latvia,,84,137,177,151,120
14,Lithuania,,169,136,121,107,100
15,Luxembourg,,5,3,2,2,2
16,Hungary,,253,164,115,78,46
17,Malta,,32,278,622,943,1491
18,Netherlands,,75,63,71,77,71
19,Austria,,236,257,283,246,167
20,Poland,,640,495,447,421,423
21,Portugal,,77,64,50,23,14
22,Romania,,269,163,109,80,60
23,Slovenia,,29,21,21,24,35
24,Slovakia,,207,171,149,131,121
25,Finland,,143,107,101,132,206
26,Sweden,,233,119,46,29,19
27,United Kingdom,,574,397,259,242,302
28,Iceland,,11,10,7,0,0
29,Liechtenstein,,1,1,2,2,1
30,Norway,,93,90,81,65,54
31,Switzerland,,83,62,47,43,56
