,Region,767,773,780,787,794,801
0,Belgium,,132,73,25,13,2
1,Bulgaria,,381,280,212,166,137
2,Czechia,,259,171,118,87,72
3,Denmark,,288,262,185,89,2
4,Germany,,1323,1207,960,791,647
5,Estonia,,47,37,24,14,9
6,Ireland,,57,31,11,6,4
7,Greece,,570,541,473,370,309
8,Spain,,1013,768,474,374,297
9,France,,846,524,309,77,46
10,Croatia,,194,128,92,79,74
11,Italy,,996,750,586,411,408
12,Cyprus,,46,41,38,32,24
13,Latvia,,75,51,35,24,16
14,Lithuania,,125,102,81,65,53
15,Luxembourg,,5,3,2,0,0
16,Hungary,,560,399,263,181,124
17,Malta,,6,5,4,4,5
18,Netherlands,,32,11,3,1,0
19,Austria,,189,175,158,79,67
20,Poland,,1073,736,542,410,323
21,Portugal,,130,75,26,5,2
22,Romania,,612,445,357,319,320
23,Slovenia,,74,41,21,12,7
24,Slovakia,,173,140,94,68,50
25,Finland,,97,80,79,83,96
26,Sweden,,118,40,19,2,0
27,United Kingdom,,661,375,265,238,234
28,Iceland,,5,7,6,0,0
29,Liechtenstein,,2,2,1,1,1
30,Norway,,43,35,27,13,9
31,Switzerland,,60,44,26,23,21
