,Region,487,493,500,507,514,521
0,Belgium,,128,113,105,90,76
1,Bulgaria,,185,139,94,67,48
2,Czechia,,124,89,68,49,37
3,Denmark,,7,8,8,7,7
4,Germany,,1057,776,637,513,411
5,Estonia,,20,17,15,12,10
6,Ireland,,2,1,0,0,0
7,Greece,,368,373,336,299,263
8,Spain,,238,202,165,127,98
9,France,,620,471,321,220,150
10,Croatia,,165,110,79,54,38
11,Italy,,958,718,555,422,325
12,Cyprus,,6,4,2,1,1
13,Latvia,,67,62,53,44,36
14,Lithuania,,78,70,60,51,43
15,Luxembourg,,3,2,2,1,1
16,Hungary,,320,224,171,120,87
17,Malta,,0,0,0,0,0
18,Netherlands,,96,79,62,49,40
19,Austria,,63,43,32,25,19
20,Poland,,1185,819,564,394,274
21,Portugal,,11,11,13,14,14
22,Romania,,366,263,188,135,97
23,Slovenia,,29,22,19,16,14
24,Slovakia,,107,81,61,47,34
25,Finland,,6,5,6,6,6
26,Sweden,,71,61,48,34,24
27,United Kingdom,,49,52,50,48,45
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,5,6,5,5,6
31,Switzerland,,33,27,24,19,17
