,Region,739,745,752,759,766,773
0,Belgium,,132,147,140,109,69
1,Bulgaria,,804,884,892,871,817
2,Czechia,,173,195,206,191,163
3,Denmark,,141,138,126,88,20
4,Germany,,1346,1609,1848,1952,1864
5,Estonia,,47,73,103,123,124
6,Ireland,,36,13,7,3,1
7,Greece,,747,568,446,343,218
8,Spain,,1049,940,812,583,375
9,France,,1915,1593,1151,710,391
10,Croatia,,215,182,170,167,158
11,Italy,,2283,1870,1445,1003,586
12,Cyprus,,20,14,11,7,4
13,Latvia,,134,226,425,647,662
14,Lithuania,,131,131,136,140,136
15,Luxembourg,,7,8,8,7,5
16,Hungary,,904,1378,1868,2225,2339
17,Malta,,7,4,3,1,0
18,Netherlands,,111,113,116,107,92
19,Austria,,97,115,125,115,91
20,Poland,,1374,1873,2524,3411,4252
21,Portugal,,242,248,280,274,208
22,Romania,,603,873,1262,1746,2222
23,Slovenia,,133,170,196,190,157
24,Slovakia,,186,269,394,466,490
25,Finland,,27,17,10,6,3
26,Sweden,,275,322,228,74,20
27,United Kingdom,,1536,1176,1038,814,561
28,Iceland,,3,1,0,0,0
29,Liechtenstein,,1,0,0,0,0
30,Norway,,40,45,48,47,42
31,Switzerland,,95,92,86,74,58
