,Region,683,689,696,703,710,717
0,Belgium,,411,564,657,698,698
1,Bulgaria,,646,538,477,406,344
2,Czechia,,1106,1366,1359,1259,1064
3,Denmark,,93,118,131,137,129
4,Germany,,2723,3444,3486,3293,2696
5,Estonia,,30,24,20,15,12
6,Ireland,,52,64,62,51,41
7,Greece,,675,713,652,535,399
8,Spain,,238,401,594,785,952
9,France,,839,1397,2115,2778,3088
10,Croatia,,444,434,351,309,249
11,Italy,,707,1016,1235,1324,1385
12,Cyprus,,7,10,14,16,19
13,Latvia,,107,83,75,59,47
14,Lithuania,,142,122,118,104,85
15,Luxembourg,,11,14,17,19,20
16,Hungary,,1555,1888,1836,1597,1237
17,Malta,,1,1,2,2,3
18,Netherlands,,496,654,702,756,774
19,Austria,,490,512,374,237,123
20,Poland,,3235,3880,4076,4063,3833
21,Portugal,,144,213,275,334,415
22,Romania,,664,402,268,175,116
23,Slovenia,,117,95,63,51,36
24,Slovakia,,560,622,616,559,460
25,Finland,,65,65,77,94,115
26,Sweden,,29,41,58,68,69
27,United Kingdom,,898,985,1038,890,606
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,63,90,110,114,107
31,Switzerland,,154,234,314,370,377
