,Region,585,591,598,605,612,619
0,Belgium,,38,39,41,42,42
1,Bulgaria,,398,588,722,913,1147
2,Czechia,,13,12,12,13,13
3,Denmark,,10,8,8,8,8
4,Germany,,217,343,496,621,761
5,Estonia,,7,8,8,9,10
6,Ireland,,20,20,20,20,18
7,Greece,,199,186,194,216,247
8,Spain,,553,375,285,234,183
9,France,,928,904,810,702,600
10,Croatia,,32,42,50,59,69
11,Italy,,332,333,341,349,360
12,Cyprus,,13,9,8,6,5
13,Latvia,,8,11,14,16,19
14,Lithuania,,59,64,64,62,57
15,Luxembourg,,1,1,1,2,2
16,Hungary,,10,14,20,29,41
17,Malta,,3,2,2,2,1
18,Netherlands,,41,36,37,37,36
19,Austria,,18,22,25,29,34
20,Poland,,27,31,34,37,41
21,Portugal,,76,74,73,68,62
22,Romania,,144,220,340,455,612
23,Slovenia,,12,17,22,28,35
24,Slovakia,,3,5,5,7,8
25,Finland,,13,12,11,10,8
26,Sweden,,17,18,20,21,22
27,United Kingdom,,727,747,785,806,810
28,Iceland,,1,1,1,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,5,9,13,20,30
31,Switzerland,,35,44,46,48,49
