,Region,795,801,808,815,822,829
0,Belgium,,95,105,115,142,194
1,Bulgaria,,153,130,115,101,90
2,Czechia,,140,133,135,142,157
3,Denmark,,107,76,50,32,22
4,Germany,,1433,1523,1284,687,354
5,Estonia,,33,24,17,14,12
6,Ireland,,42,46,57,75,111
7,Greece,,466,521,552,534,467
8,Spain,,295,252,239,221,215
9,France,,1117,1329,1521,1924,2295
10,Croatia,,74,61,36,35,33
11,Italy,,1091,1074,966,1094,1211
12,Cyprus,,24,29,37,43,47
13,Latvia,,63,99,77,55,40
14,Lithuania,,76,63,56,49,43
15,Luxembourg,,6,6,6,3,3
16,Hungary,,159,147,143,159,196
17,Malta,,8,11,16,24,34
18,Netherlands,,78,73,60,44,36
19,Austria,,294,296,239,158,122
20,Poland,,522,415,361,316,277
21,Portugal,,86,84,88,119,153
22,Romania,,170,151,147,159,180
23,Slovenia,,31,32,38,45,52
24,Slovakia,,141,127,114,102,93
25,Finland,,200,234,240,241,236
26,Sweden,,40,31,23,17,11
27,United Kingdom,,961,1091,1202,1321,1509
28,Iceland,,8,5,3,1,1
29,Liechtenstein,,2,1,1,1,1
30,Norway,,83,62,37,24,15
31,Switzerland,,116,100,77,62,53
