,Region,816,822,829,836,843,850
0,Belgium,,58,65,69,69,66
1,Bulgaria,,68,52,43,35,28
2,Czechia,,107,85,69,59,50
3,Denmark,,69,48,34,27,32
4,Germany,,1112,838,550,488,492
5,Estonia,,13,10,8,6,5
6,Ireland,,55,39,32,29,30
7,Greece,,515,424,334,275,239
8,Spain,,162,134,115,105,84
9,France,,1007,1016,950,805,793
10,Croatia,,49,37,19,12,8
11,Italy,,966,949,931,876,997
12,Cyprus,,24,29,34,38,34
13,Latvia,,8,5,4,3,2
14,Lithuania,,50,40,48,101,209
15,Luxembourg,,21,20,17,15,12
16,Hungary,,120,100,92,95,98
17,Malta,,28,38,38,31,29
18,Netherlands,,75,67,50,35,23
19,Austria,,163,117,82,68,65
20,Poland,,141,82,50,37,29
21,Portugal,,187,183,170,153,141
22,Romania,,101,76,62,50,39
23,Slovenia,,24,20,25,50,110
24,Slovakia,,118,100,75,51,37
25,Finland,,188,185,167,144,123
26,Sweden,,30,24,19,12,9
27,United Kingdom,,1196,822,604,535,517
28,Iceland,,2,1,0,1,2
29,Liechtenstein,,0,0,0,0,0
30,Norway,,86,55,34,22,14
31,Switzerland,,64,79,79,60,34
