,Region,746,752,759,766,773,780
0,Belgium,,285,239,159,92,44
1,Bulgaria,,654,616,547,478,409
2,Czechia,,373,489,494,467,442
3,Denmark,,108,28,14,9,2
4,Germany,,1040,1134,1164,1124,990
5,Estonia,,70,87,93,87,72
6,Ireland,,63,28,19,19,10
7,Greece,,594,532,458,379,272
8,Spain,,863,712,532,328,252
9,France,,1748,1475,1053,541,321
10,Croatia,,319,233,157,105,77
11,Italy,,1988,1497,1096,793,567
12,Cyprus,,14,17,16,13,10
13,Latvia,,152,280,416,465,398
14,Lithuania,,128,124,111,93,85
15,Luxembourg,,10,12,11,9,6
16,Hungary,,866,1356,1709,1753,1678
17,Malta,,8,5,4,3,1
18,Netherlands,,79,96,108,102,86
19,Austria,,166,139,69,46,35
20,Poland,,1685,2010,2279,2255,2187
21,Portugal,,411,373,253,117,49
22,Romania,,1088,1585,1961,2297,2636
23,Slovenia,,102,70,41,22,12
24,Slovakia,,171,247,343,402,434
25,Finland,,53,39,39,27,20
26,Sweden,,366,298,206,83,16
27,United Kingdom,,1620,1336,1792,2769,3148
28,Iceland,,2,0,0,0,0
29,Liechtenstein,,1,1,1,1,1
30,Norway,,37,44,42,31,21
31,Switzerland,,95,97,91,73,57
