,Region,613,619,626,633,640,647
0,Belgium,,51,51,51,51,50
1,Bulgaria,,478,507,505,508,514
2,Czechia,,26,28,29,31,33
3,Denmark,,11,8,6,6,5
4,Germany,,467,431,396,356,314
5,Estonia,,19,21,24,28,34
6,Ireland,,23,24,23,23,23
7,Greece,,209,208,204,196,186
8,Spain,,281,181,136,110,85
9,France,,372,277,214,174,137
10,Croatia,,117,141,145,149,153
11,Italy,,336,289,245,207,171
12,Cyprus,,10,5,5,8,11
13,Latvia,,57,73,83,93,102
14,Lithuania,,134,165,201,232,263
15,Luxembourg,,1,1,2,3,4
16,Hungary,,51,73,84,99,117
17,Malta,,4,3,2,1,1
18,Netherlands,,50,46,39,34,29
19,Austria,,79,90,88,80,72
20,Poland,,100,131,168,196,230
21,Portugal,,39,29,22,17,13
22,Romania,,1197,2140,3604,4919,6610
23,Slovenia,,47,64,69,65,61
24,Slovakia,,36,54,78,115,190
25,Finland,,11,8,7,5,4
26,Sweden,,46,36,27,21,15
27,United Kingdom,,952,903,944,948,938
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,9,7,6,4,3
31,Switzerland,,47,45,33,24,18
