,Region,578,584,591,598,605,612
0,Belgium,,32,34,36,37,39
1,Bulgaria,,240,455,738,997,1340
2,Czechia,,8,7,7,7,7
3,Denmark,,6,6,7,6,6
4,Germany,,201,342,457,600,781
5,Estonia,,5,7,7,7,7
6,Ireland,,17,19,19,19,18
7,Greece,,141,151,163,161,158
8,Spain,,536,423,318,249,191
9,France,,742,805,792,760,703
10,Croatia,,18,24,34,49,76
11,Italy,,396,456,474,475,484
12,Cyprus,,14,11,9,7,6
13,Latvia,,7,9,10,12,14
14,Lithuania,,44,52,56,59,60
15,Luxembourg,,2,2,2,2,2
16,Hungary,,8,8,9,9,10
17,Malta,,3,2,2,2,2
18,Netherlands,,27,19,18,17,16
19,Austria,,11,17,22,28,36
20,Poland,,24,30,34,37,41
21,Portugal,,73,70,68,62,52
22,Romania,,103,168,236,321,438
23,Slovenia,,6,8,11,14,18
24,Slovakia,,4,5,6,6,7
25,Finland,,15,16,14,14,14
26,Sweden,,8,8,9,10,12
27,United Kingdom,,496,476,512,542,552
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,6,8,10,11,13
31,Switzerland,,19,29,46,61,78
