,Region,550,556,563,570,577,584
0,Belgium,,16,25,29,31,33
1,Bulgaria,,24,24,30,38,48
2,Czechia,,21,22,22,21,21
3,Denmark,,2,4,5,3,1
4,Germany,,189,248,301,361,425
5,Estonia,,0,1,1,1,2
6,Ireland,,12,18,28,35,42
7,Greece,,105,191,239,248,254
8,Spain,,249,442,579,632,662
9,France,,169,290,639,1090,1747
10,Croatia,,10,12,16,19,23
11,Italy,,85,140,262,392,569
12,Cyprus,,30,38,37,35,32
13,Latvia,,5,4,5,5,5
14,Lithuania,,7,12,19,30,45
15,Luxembourg,,3,4,3,3,2
16,Hungary,,4,4,5,6,7
17,Malta,,3,5,5,5,5
18,Netherlands,,47,90,103,91,81
19,Austria,,4,9,14,17,21
20,Poland,,22,21,23,26,31
21,Portugal,,96,107,110,103,88
22,Romania,,76,95,132,176,236
23,Slovenia,,2,2,3,3,4
24,Slovakia,,6,6,7,9,10
25,Finland,,4,6,7,8,9
26,Sweden,,4,5,6,7,6
27,United Kingdom,,623,753,752,745,715
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,2,1,2,2,2
31,Switzerland,,2,5,8,11,15
