,Region,431,437,444,451,458,465
0,Belgium,,214,247,251,253,253
1,Bulgaria,,771,893,887,864,843
2,Czechia,,1222,1061,925,788,665
3,Denmark,,14,15,13,12,12
4,Germany,,1394,1811,2194,2680,3241
5,Estonia,,82,82,77,70,61
6,Ireland,,64,68,72,74,77
7,Greece,,449,485,510,516,521
8,Spain,,1615,1658,1717,1754,1785
9,France,,1906,2196,2269,2204,2121
10,Croatia,,138,195,237,285,340
11,Italy,,3064,3150,3143,2962,2759
12,Cyprus,,7,8,7,8,7
13,Latvia,,53,53,54,55,55
14,Lithuania,,79,95,112,126,142
15,Luxembourg,,26,29,29,31,31
16,Hungary,,1566,1931,2200,2286,2304
17,Malta,,17,13,10,7,4
18,Netherlands,,218,262,299,334,369
19,Austria,,204,231,251,264,274
20,Poland,,3097,4147,4875,5433,5958
21,Portugal,,59,47,42,39,36
22,Romania,,897,1039,1120,1154,1181
23,Slovenia,,44,48,56,61,64
24,Slovakia,,439,370,317,267,227
25,Finland,,10,10,10,10,9
26,Sweden,,130,147,154,163,167
27,United Kingdom,,484,468,459,451,442
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,7,9,9,9,9
31,Switzerland,,98,115,119,127,139
