,Region,480,486,493,500,507,514
0,Belgium,,178,163,145,126,109
1,Bulgaria,,272,193,155,115,86
2,Czechia,,240,185,149,118,95
3,Denmark,,7,9,10,11,12
4,Germany,,1210,951,727,529,384
5,Estonia,,24,23,20,19,18
6,Ireland,,19,19,18,16,15
7,Greece,,378,380,400,392,389
8,Spain,,454,376,310,253,208
9,France,,1129,885,746,583,473
10,Croatia,,232,175,132,98,73
11,Italy,,1299,1063,896,764,648
12,Cyprus,,11,8,5,3,3
13,Latvia,,61,64,68,70,73
14,Lithuania,,66,68,68,67,66
15,Luxembourg,,4,3,3,2,1
16,Hungary,,457,315,250,189,147
17,Malta,,1,1,0,0,0
18,Netherlands,,133,123,109,96,85
19,Austria,,95,70,52,38,29
20,Poland,,994,683,559,464,384
21,Portugal,,14,11,13,13,13
22,Romania,,489,355,288,226,180
23,Slovenia,,29,27,22,17,14
24,Slovakia,,185,149,124,102,84
25,Finland,,8,8,8,7,7
26,Sweden,,86,81,69,52,39
27,United Kingdom,,69,69,71,73,75
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,7,7,7,7,7
31,Switzerland,,26,21,17,14,11
