,Region,697,703,710,717,724,731
0,Belgium,,459,467,365,252,170
1,Bulgaria,,497,413,355,324,338
2,Czechia,,1094,1072,852,792,1098
3,Denmark,,86,114,155,227,350
4,Germany,,3177,3179,2742,1943,1286
5,Estonia,,22,17,18,18,17
6,Ireland,,56,57,56,53,51
7,Greece,,623,568,497,575,796
8,Spain,,427,620,740,1141,2594
9,France,,1794,2597,2940,3155,3560
10,Croatia,,0,0,0,0,0
11,Italy,,946,1186,1491,1754,1978
12,Cyprus,,13,16,16,16,14
13,Latvia,,77,65,66,63,53
14,Lithuania,,120,112,110,184,461
15,Luxembourg,,14,17,17,23,35
16,Hungary,,1541,1442,1081,741,444
17,Malta,,3,3,4,5,6
18,Netherlands,,501,514,436,429,654
19,Austria,,352,245,145,92,72
20,Poland,,3685,3944,3654,3517,5917
21,Portugal,,194,255,291,332,432
22,Romania,,296,183,141,120,95
23,Slovenia,,80,63,51,32,30
24,Slovakia,,630,590,440,555,788
25,Finland,,0,0,0,0,0
26,Sweden,,49,68,86,120,211
27,United Kingdom,,924,1031,1295,2437,4106
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,2,2,2,2,3
30,Norway,,68,97,114,114,104
31,Switzerland,,249,325,346,344,355
