,Region,725,731,738,745,752,759
0,Belgium,,130,143,135,111,76
1,Bulgaria,,185,162,203,236,290
2,Czechia,,206,207,228,235,224
3,Denmark,,103,111,80,57,38
4,Germany,,899,827,790,726,683
5,Estonia,,19,27,36,47,55
6,Ireland,,93,91,71,46,26
7,Greece,,1354,2744,2952,1897,1127
8,Spain,,803,776,681,555,393
9,France,,1579,1454,1236,905,545
10,Croatia,,324,374,300,87,95
11,Italy,,1982,1638,1467,1298,935
12,Cyprus,,39,76,92,63,41
13,Latvia,,111,171,241,306,355
14,Lithuania,,61,47,57,68,79
15,Luxembourg,,6,7,8,9,8
16,Hungary,,713,1039,1492,1986,2386
17,Malta,,16,10,5,2,1
18,Netherlands,,116,99,76,52,33
19,Austria,,176,297,397,426,377
20,Poland,,2108,1916,2141,2575,3269
21,Portugal,,116,99,72,42,20
22,Romania,,301,496,861,1450,2328
23,Slovenia,,51,74,98,112,110
24,Slovakia,,146,106,84,77,77
25,Finland,,128,168,206,238,258
26,Sweden,,38,43,63,76,75
27,United Kingdom,,1350,869,519,297,172
28,Iceland,,7,6,3,2,1
29,Liechtenstein,,1,1,1,1,0
30,Norway,,25,25,27,27,27
31,Switzerland,,134,130,115,89,59
