,Region,522,528,535,542,549,556
0,Belgium,,30,20,16,9,6
1,Bulgaria,,48,37,30,24,19
2,Czechia,,27,19,15,10,7
3,Denmark,,2,2,1,1,0
4,Germany,,336,200,130,76,44
5,Estonia,,1,1,1,0,1
6,Ireland,,17,17,16,14,13
7,Greece,,93,62,47,32,21
8,Spain,,131,118,103,86,70
9,France,,240,154,113,74,45
10,Croatia,,21,15,11,8,6
11,Italy,,192,133,97,63,41
12,Cyprus,,2,2,3,4,5
13,Latvia,,18,12,8,6,4
14,Lithuania,,12,6,4,2,1
15,Luxembourg,,0,0,0,0,0
16,Hungary,,25,16,12,9,7
17,Malta,,0,1,0,0,0
18,Netherlands,,14,9,7,4,2
19,Austria,,15,10,7,5,3
20,Poland,,159,102,72,43,25
21,Portugal,,23,28,30,30,28
22,Romania,,578,380,280,195,133
23,Slovenia,,6,4,2,2,1
24,Slovakia,,28,19,14,10,7
25,Finland,,2,2,2,2,2
26,Sweden,,17,12,9,6,4
27,United Kingdom,,127,165,188,202,204
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,1,2,1,1,1
31,Switzerland,,9,5,4,2,1
