,Region,571,577,584,591,598,605
0,Belgium,,27,31,38,72,153
1,Bulgaria,,123,213,334,479,679
2,Czechia,,8,8,8,8,9
3,Denmark,,7,7,8,8,8
4,Germany,,193,314,416,564,750
5,Estonia,,6,10,13,15,17
6,Ireland,,18,22,25,28,29
7,Greece,,139,141,154,171,183
8,Spain,,414,332,306,398,584
9,France,,531,572,490,444,389
10,Croatia,,16,22,29,37,47
11,Italy,,277,327,358,438,591
12,Cyprus,,15,12,10,8,6
13,Latvia,,4,6,7,9,11
14,Lithuania,,36,51,59,64,66
15,Luxembourg,,2,1,1,1,1
16,Hungary,,7,8,8,9,10
17,Malta,,4,3,2,2,1
18,Netherlands,,41,27,20,18,15
19,Austria,,12,18,24,30,38
20,Poland,,24,32,37,41,46
21,Portugal,,82,72,68,62,53
22,Romania,,51,85,123,178,343
23,Slovenia,,3,4,6,7,10
24,Slovakia,,5,7,8,9,10
25,Finland,,13,13,16,19,23
26,Sweden,,3,5,6,7,8
27,United Kingdom,,515,433,482,884,2315
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,6,7,8,9,10
31,Switzerland,,13,22,35,66,127
