,Region,459,465,472,479,486,493
0,Belgium,,255,249,252,250,247
1,Bulgaria,,592,454,360,280,219
2,Czechia,,464,377,316,262,218
3,Denmark,,19,19,21,22,23
4,Germany,,1634,1872,1901,1839,1779
5,Estonia,,40,32,26,23,19
6,Ireland,,36,33,36,38,40
7,Greece,,549,527,507,469,431
8,Spain,,702,787,749,658,578
9,France,,2054,2031,1847,1608,1390
10,Croatia,,310,350,374,390,404
11,Italy,,2190,2003,1907,1740,1600
12,Cyprus,,17,21,26,30,35
13,Latvia,,57,65,69,74,80
14,Lithuania,,95,106,113,115,116
15,Luxembourg,,4,4,3,3,2
16,Hungary,,1184,935,728,566,440
17,Malta,,4,3,2,2,2
18,Netherlands,,161,171,182,192,198
19,Austria,,186,168,157,145,134
20,Poland,,3032,2393,1818,1364,1019
21,Portugal,,21,20,21,20,20
22,Romania,,1024,788,641,532,441
23,Slovenia,,45,41,36,33,29
24,Slovakia,,396,336,298,264,233
25,Finland,,13,10,8,8,6
26,Sweden,,160,163,143,109,84
27,United Kingdom,,127,118,119,115,112
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,10,8,7,5,5
31,Switzerland,,80,85,76,66,59
