,Region,704,710,717,724,731,738
0,Belgium,,409,287,179,109,66
1,Bulgaria,,430,381,340,298,261
2,Czechia,,587,581,650,787,930
3,Denmark,,35,24,15,10,7
4,Germany,,1939,1509,1102,805,600
5,Estonia,,30,33,38,42,47
6,Ireland,,97,104,96,93,93
7,Greece,,584,567,531,460,403
8,Spain,,690,874,1186,1718,2227
9,France,,1689,2384,3642,5403,6368
10,Croatia,,310,269,228,189,151
11,Italy,,1457,2516,5295,9658,11393
12,Cyprus,,17,21,21,23,26
13,Latvia,,84,78,72,61,50
14,Lithuania,,134,116,98,80,64
15,Luxembourg,,10,8,8,9,9
16,Hungary,,751,562,389,262,154
17,Malta,,7,20,42,64,60
18,Netherlands,,350,289,255,245,243
19,Austria,,139,87,56,43,41
20,Poland,,2720,2873,4472,9805,18317
21,Portugal,,201,332,603,1067,1480
22,Romania,,229,172,142,138,146
23,Slovenia,,56,46,38,30,22
24,Slovakia,,388,293,201,129,80
25,Finland,,85,114,148,189,235
26,Sweden,,65,81,91,82,74
27,United Kingdom,,1138,1143,1180,1351,1381
28,Iceland,,0,0,0,0,1
29,Liechtenstein,,1,1,0,0,0
30,Norway,,46,35,26,20,15
31,Switzerland,,194,216,225,197,164
