,Region,676,682,689,696,703,710
0,Belgium,,340,456,557,619,638
1,Bulgaria,,731,601,514,426,340
2,Czechia,,975,1460,1801,1885,1784
3,Denmark,,74,101,115,120,117
4,Germany,,2191,3044,3819,4388,4849
5,Estonia,,49,37,30,24,18
6,Ireland,,70,99,111,108,93
7,Greece,,674,725,741,716,638
8,Spain,,192,308,468,618,712
9,France,,463,714,1044,1335,1617
10,Croatia,,484,515,517,469,391
11,Italy,,558,812,1039,1197,1246
12,Cyprus,,4,8,10,9,10
13,Latvia,,157,112,91,78,59
14,Lithuania,,163,140,124,101,79
15,Luxembourg,,7,10,12,14,14
16,Hungary,,1613,2463,3014,3180,3105
17,Malta,,4,5,6,7,9
18,Netherlands,,392,582,749,905,1033
19,Austria,,474,598,580,475,322
20,Poland,,2860,3869,4595,5095,5429
21,Portugal,,114,163,225,297,394
22,Romania,,1143,717,446,296,196
23,Slovenia,,140,142,106,88,61
24,Slovakia,,477,608,679,663,590
25,Finland,,43,53,62,78,95
26,Sweden,,34,42,55,62,65
27,United Kingdom,,890,941,1030,910,642
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,63,81,94,93,85
31,Switzerland,,91,146,213,276,309
