,Region,543,549,556,563,570,577
0,Belgium,,14,22,27,31,35
1,Bulgaria,,33,30,35,39,42
2,Czechia,,15,22,25,30,33
3,Denmark,,4,7,9,4,1
4,Germany,,165,228,348,492,670
5,Estonia,,1,1,2,2,2
6,Ireland,,11,15,24,35,53
7,Greece,,104,214,304,396,492
8,Spain,,138,241,341,430,502
9,France,,189,313,557,927,1477
10,Croatia,,12,12,16,20,24
11,Italy,,123,195,343,554,870
12,Cyprus,,7,10,13,14,14
13,Latvia,,7,6,5,4,4
14,Lithuania,,7,11,17,24,34
15,Luxembourg,,2,2,3,1,2
16,Hungary,,9,8,9,11,11
17,Malta,,0,0,0,0,0
18,Netherlands,,25,95,163,225,278
19,Austria,,8,16,30,53,90
20,Poland,,59,54,58,57,55
21,Portugal,,56,72,86,95,94
22,Romania,,191,188,238,288,346
23,Slovenia,,2,2,3,2,3
24,Slovakia,,5,6,4,4,3
25,Finland,,4,5,7,8,10
26,Sweden,,6,4,6,4,4
27,United Kingdom,,299,398,536,691,865
28,Iceland,,0,0,0,0,0
29,Liechtenstein,,0,0,0,0,0
30,Norway,,1,1,1,1,0
31,Switzerland,,4,8,12,17,22
